PRIVATE  OFFICES  -  AVERAGE  RENTS  BY  GRADE  AND  DISTRICT [MONTHLY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Grade A Sheung Wan,Grade A Sheung Wan - Remarks,Grade A Central,Grade A Central - Remarks,Grade A Wan Chai / Causeway Bay,Grade A Wan Chai / Causeway Bay - Remarks,Grade A North Point / Quarry Bay,Grade A North Point / Quarry Bay - Remarks,Grade A Tsim Sha Tsui,Grade A Tsim Sha Tsui - Remarks,Grade A Yau Ma Tei / Mong Kok,Grade A Yau Ma Tei / Mong Kok - Remarks,Grade A Kowloon Bay / Kwun Tong,Grade A Kowloon Bay / Kwun Tong - Remarks,Grade B Sheung Wan,Grade B Sheung Wan - Remarks,Grade B Central,Grade B Central - Remarks,Grade B Wan Chai / Causeway Bay,Grade B Wan Chai / Causeway Bay - Remarks,Grade B North Point / Quarry Bay,Grade B North Point / Quarry Bay - Remarks,Grade B Tsim Sha Tsui,Grade B Tsim Sha Tsui - Remarks,Grade B Yau Ma Tei / Mong Kok,Grade B Yau Ma Tei / Mong Kok - Remarks,Grade B Kowloon Bay / Kwun Tong,Grade B Kowloon Bay / Kwun Tong - Remarks,Grade C Sheung Wan,Grade C Sheung Wan - Remarks,Grade C Central,Grade C Central - Remarks,Grade C Wan Chai / Causeway Bay,Grade C Wan Chai / Causeway Bay - Remarks,Grade C North Point / Quarry Bay,Grade C North Point / Quarry Bay - Remarks,Grade C Tsim Sha Tsui,Grade C Tsim Sha Tsui - Remarks,Grade C Yau Ma Tei / Mong Kok,Grade C Yau Ma Tei / Mong Kok - Remarks,Grade C Kowloon Bay / Kwun Tong,Grade C Kowloon Bay / Kwun Tong - Remarks
Jan-99,247,X,470,,337,,200,X,287,,243,,n/a,,213,,343,,261,,206,,253,,215,,n/a,,196,,239,,261,,237,,247,,214,,n/a,
Feb-99,289,X,424,,340,,226,,289,,234,,n/a,,183,,336,,241,,190,,250,,227,,n/a,,199,,268,,244,,211,,262,,231,,n/a,
Mar-99,317,X,414,,335,,234,,268,,249,,n/a,,177,,306,,228,,192,,237,,220,,n/a,,201,,247,,240,,218,,235,,208,,n/a,
Apr-99,265,X,405,,300,,209,,257,,233,,n/a,,176,,291,,223,,195,,236,,213,,n/a,,182,,238,,245,,210,,237,,202,,n/a,
May-99,256,,403,,290,,228,,256,,233,,n/a,,165,,302,,222,,189,,243,,211,,n/a,,179,,246,,222,,215,,249,,215,,n/a,
Jun-99,271,X,392,,281,,220,,257,,234,,n/a,,182,,310,,223,,174,,229,,205,,n/a,,179,,248,,214,,213,,229,,212,,n/a,
Jul-99,270,,381,,279,,215,,280,,233,,n/a,,172,,305,,222,,170,,222,,203,,n/a,,174,,247,,212,,197,,230,,177,,n/a,
Aug-99,223,,405,,275,,231,,262,,225,,n/a,,175,,323,,231,,212,,215,,210,,n/a,,180,,241,,213,,208,,220,,212,,n/a,
Sep-99,302,,357,,255,,199,,260,,208,,n/a,,181,,301,,203,,182,,229,,214,,n/a,,181,,253,,227,,196,,208,,211,,n/a,
Oct-99,230,X,405,,241,,236,X,278,,248,,n/a,,176,,302,,199,,203,,240,,212,,n/a,,172,,241,,208,,249,X,213,,207,,n/a,
Nov-99,280,,391,,262,,209,,259,,232,X,n/a,,171,,310,,198,,218,X,238,,218,,n/a,,168,,217,,220,,215,,225,,227,,n/a,
